label	idx	name	class	layer	bbox	net	ref_name	lib_cell	shape_use	via_def	owner
near_cell_16	3	U45802	cell		{803.5970 600.1540} {807.4750 601.9570}		MUX41X2_HVT	saed32hvt_tt.modified_lef/MUX41X2_HVT			
near_pin_16	1	U6769/A1	pin	M1 CO	{806.6970 602.7130} {806.8690 602.8970}	n5614					
near_pin_16	2	U6769/VSS	pin	M1 CO	{806.4480 603.1410} {807.9680 603.5580}	VSS					
near_shape_16	1	PATH_15_40320	shape	M3	{804.4440 603.0440} {809.2120 603.1000}	n7465			detail_route		n7465
near_shape_16	2	PATH_13_100740	shape	M2	{807.0280 602.1320} {807.0840 602.9480}	n5613			detail_route		n5613
near_via_16	1	VIA_SA_15719	via		{806.5450 602.8650} {806.8070 602.9750}	n5614			detail_route	VIA12SQ_C	n5614
offgrid_error_17	0	17	drc_error		{799.4010 612.0100} {799.5110 612.0700}	NA	NA	NA	NA	NA	NA
drc_object_17	1	n55676	net		{782.0720 571.8570} {806.4200 612.1160}						
near_cell_17	1	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_i_rdata_q_reg_0__8_	cell		{800.5570 613.5300} {804.7390 615.3330}		DFFX1_HVT	saed32hvt_tt.modified_lef/DFFX1_HVT			
near_cell_17	2	U7496	cell		{796.4530 613.5300} {798.6590 615.3470}		AO222X1_HVT	saed32hvt_tt.modified_lef/AO222X1_HVT			
near_cell_17	3	U6629	cell		{797.0610 611.7870} {800.9390 613.5900}		MUX41X2_HVT	saed32hvt_tt.modified_lef/MUX41X2_HVT			
near_pin_17	1	U6629/S0	pin	M1 CO	{799.3380 612.0660} {799.8840 612.1160}	n55676					
near_pin_17	2	U6629/VDD	pin	M1 CO	{797.1760 611.8580} {800.8240 612.5100}	VDD					
near_shape_17	1	PATH_25_50	shape	M8	{799.5000 13.0000} {800.5000 857.9840}	VDD			stripe		VDD
near_shape_17	2	PATH_11_354	shape	M1	{20.0000 611.8580} {851.4400 611.9180}	VDD			lib_cell_pin_connect		VDD
near_shape_17	3	PATH_17_1079	shape	M4	{799.4280 605.7800} {799.4840 613.4360}	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_i_rdata_q_0__23_			detail_route		u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_i_rdata_q_0__23_
near_shape_17	4	PATH_23_1555	shape	M7	{701.5400 612.1640} {799.4840 612.2200}	ZBUF_2_260			detail_route		ZBUF_2_260
near_shape_17	5	PATH_21_3991	shape	M6	{799.4280 612.1640} {799.4840 686.3960}	ZBUF_2_260			detail_route		ZBUF_2_260
near_shape_17	6	PATH_13_374022	shape	M2	{799.4280 608.8200} {799.4840 612.0680}	n55676			detail_route		n55676
near_shape_17	7	PATH_13_377671	shape	M2	{799.1240 607.7560} {799.1800 613.5880}	instr_rdata[27]			detail_route		instr_rdata[27]
near_via_17	1	VIA_SA_8937	via		{799.5250 611.8330} {800.4750 611.9430}	VDD			lib_cell_pin_connect	VIA12SQ_C	VDD
